67,BOTTOMINFRARED,edgeLeft,885,lineLeft,958,lineCenter,968,lineRight,886,edgeRight,806
67,LIGHT,lightLeft,209,lightCneter,227,lightRight,353
68,MAGNETOMETER,x,118.68,y,-205.16,z,13.80
66,ACCELEROMETER,x,0.39,y,-0.56,z,-9.40
67,BOTTOMINFRARED,edgeLeft,885,lineLeft,959,lineCenter,969,lineRight,886,edgeRight,806
67,LIGHT,lightLeft,211,lightCneter,229,lightRight,349
66,MAGNETOMETER,x,117.76,y,-204.24,z,11.04
68,ACCELEROMETER,x,0.37,y,-0.60,z,-9.44
68,BOTTOMINFRARED,edgeLeft,883,lineLeft,959,lineCenter,968,lineRight,885,edgeRight,805
68,LIGHT,lightLeft,213,lightCneter,227,lightRight,343
68,MAGNETOMETER,x,116.84,y,-205.16,z,14.72
67,ACCELEROMETER,x,0.33,y,-0.58,z,-9.42
67,BOTTOMINFRARED,edgeLeft,884,lineLeft,958,lineCenter,968,lineRight,885,edgeRight,804
67,LIGHT,lightLeft,213,lightCneter,225,lightRight,337
68,MAGNETOMETER,x,115.92,y,-203.32,z,12.88
67,ACCELEROMETER,x,0.34,y,-0.56,z,-9.47
67,BOTTOMINFRARED,edgeLeft,883,lineLeft,958,lineCenter,967,lineRight,885,edgeRight,805
67,LIGHT,lightLeft,210,lightCneter,221,lightRight,331
66,MAGNETOMETER,x,115.00,y,-202.40,z,16.56
67,ACCELEROMETER,x,0.38,y,-0.57,z,-9.38
68,BOTTOMINFRARED,edgeLeft,884,lineLeft,960,lineCenter,966,lineRight,885,edgeRight,804
67,LIGHT,lightLeft,209,lightCneter,216,lightRight,330
68,MAGNETOMETER,x,115.00,y,-203.32,z,16.56
68,ACCELEROMETER,x,0.39,y,-0.56,z,-9.40
66,BOTTOMINFRARED,edgeLeft,885,lineLeft,959,lineCenter,967,lineRight,885,edgeRight,806
68,LIGHT,lightLeft,207,lightCneter,215,lightRight,329
67,MAGNETOMETER,x,115.00,y,-204.24,z,18.40
67,ACCELEROMETER,x,0.40,y,-0.54,z,-9.39
68,BOTTOMINFRARED,edgeLeft,884,lineLeft,957,lineCenter,969,lineRight,885,edgeRight,804
67,LIGHT,lightLeft,205,lightCneter,214,lightRight,331
67,MAGNETOMETER,x,114.08,y,-206.08,z,16.56
67,ACCELEROMETER,x,0.39,y,-0.58,z,-9.47
67,BOTTOMINFRARED,edgeLeft,883,lineLeft,960,lineCenter,969,lineRight,884,edgeRight,804
67,LIGHT,lightLeft,201,lightCneter,213,lightRight,334
67,MAGNETOMETER,x,116.84,y,-203.32,z,13.80
68,ACCELEROMETER,x,0.33,y,-0.57,z,-9.41
67,BOTTOMINFRARED,edgeLeft,883,lineLeft,960,lineCenter,968,lineRight,886,edgeRight,806
68,LIGHT,lightLeft,201,lightCneter,215,lightRight,339
67,MAGNETOMETER,x,116.84,y,-204.24,z,16.56
66,ACCELEROMETER,x,0.34,y,-0.59,z,-9.43
68,BOTTOMINFRARED,edgeLeft,883,lineLeft,957,lineCenter,968,lineRight,886,edgeRight,806
66,LIGHT,lightLeft,199,lightCneter,217,lightRight,344
68,MAGNETOMETER,x,118.68,y,-203.32,z,14.72
68,ACCELEROMETER,x,0.40,y,-0.56,z,-9.36
